report_date,report_month,user_id,current_cc_id,current_cc_name,current_cc_group,current_assigned_time,first_cc_id,first_cc_name,first_assigned_time,assign_count,is_reassigned,lead_source_raw,has_trial_booked,trial_count,first_trial_time,latest_trial_time,latest_trial_status,is_cancelled,is_absent,is_attended,outbound_call_count,connected_call_count,effective_connected_call_count,short_call_count_lt20s,total_connected_duration_sec,distinct_call_days,distinct_call_time_slots,first_call_time,last_call_time,last_call_duration_sec,post_class_call_within_6h,post_class_call_after_6h,is_ordered,order_id,order_time,processed_time,paid_amount,package_name,payment_method,closed_sales_name,closed_sales_group,lead_quality_category,lead_quality_reason,lead_quality_confidence,final_status,data_join_status,missing_data_flags
2026-04-29,2026-04,62352109,4121807,,,2026-04-21T17:49:07+08:00,4121807,,2026-04-21T17:49:07+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 20:24,2026/4/22 20:24,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62363000,4123057,,,2026-04-25T18:59:33+08:00,4123057,,2026-04-25T18:59:33+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/25 19:02,2026/4/25 19:02,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62391467,4121807,,,2026-04-21T18:19:16+08:00,4121807,,2026-04-21T18:19:16+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 20:11,2026/4/22 20:11,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62404511,4123057,,,2026-04-20T22:50:13+08:00,4123057,,2026-04-20T22:50:13+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,151,1,1,2026/4/21 1:12,2026/4/21 1:12,151,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62416752,4123060,,,2026-04-21T17:48:16+08:00,4123060,,2026-04-21T17:48:16+08:00,1,0,CC人工改派,0,0,,,,0,0,0,2,0,0,0,0,2,2,2026/4/22 21:04,2026-04-27 23:42:05,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62449161,4121807,,,2026-04-21T17:47:27+08:00,4121807,,2026-04-21T17:47:27+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 20:01,2026/4/22 20:01,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62453504,4121807,,,2026-04-21T17:11:20+08:00,4121807,,2026-04-21T17:11:20+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 19:31,2026/4/22 19:31,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62462330,4121807,,,2026-04-21T17:48:50+08:00,4121807,,2026-04-21T17:48:50+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 19:52,2026/4/22 19:52,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62463101,4121807,,,2026-04-21T17:11:44+08:00,4121807,,2026-04-21T17:11:44+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,0,1,2,1,1,2026/4/22 19:40,2026/4/22 19:40,2,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62470699,4123060,,,2026-04-22T20:22:57+08:00,4123060,,2026-04-22T20:22:57+08:00,1,0,CC人工改派,1,1,2026-04-22 18:30 ~ 19:00,2026-04-22 18:30 ~ 19:00,s_absent,0,1,0,1,0,0,0,0,1,1,2026/4/22 21:33,2026/4/22 21:33,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,booked_not_attended,joined_by_user_id_only,missing_order
